Name	Team	Value
Christian McCaffrey	CAR	82
Jonathan Taylor	IND	80
Dalvin Cook	MIN	76
Alvin Kamara	NO	72
Saquon Barkley	NYG	67
Nick Chubb	CLE	64
Derrick Henry	TEN	63
Najee Harris	PIT	61
Aaron Jones	GB	61
Antonio Gibson	WAS	58
Ezekiel Elliott	DAL	56
Joe Mixon	CIN	55
Clyde Edwards-Helaire	KC	52
D'Andre Swift	DET	46
Austin Ekeler	LAC	45
Javonte Williams	DEN	42
Miles Sanders	PHI	42
David Montgomery	CHI	42
Josh Jacobs	LV	36
Chris Carson	SEA	34
J.K. Dobbins	BAL	32
Travis Etienne Jr.	JAC	31
Kareem Hunt	CLE	30
Cam Akers	LAR	26
Trey Sermon	SF	25
James Robinson	JAC	25
Michael Carter	NYJ	23
Myles Gaskin	MIA	22
Ronald Jones II	TB	21
Darrell Henderson	LAR	21
Damien Harris	NE	20
AJ Dillon	GB	20
Chase Edmonds	ARI	19
Zack Moss	BUF	19
Melvin Gordon III	DEN	18
Mike Davis	ATL	17
Tony Pollard	DAL	17
Raheem Mostert	SF	15
Leonard Fournette	TB	15
Kenyan Drake	LV	15
James Conner	ARI	13
Devin Singletary	BUF	13
Nyheim Hines	IND	13
Kenneth Gainwell	PHI	12
David Johnson	HOU	12
Alexander Mattison	MIN	12
Gus Edwards	BAL	12
Phillip Lindsay	HOU	11
Tarik Cohen	CHI	10
Jamaal Williams	DET	10
Chuba Hubbard	CAR	10
J.D. McKissic	WAS	10
Rashaad Penny	SEA	9
Rhamondre Stevenson	NE	9
Sony Michel	LAR	8
Latavius Murray	NO	8
James White	NE	8
Joshua Kelley	LAC	7
Ke'Shawn Vaughn	TB	7
Marlon Mack	IND	7
Darrynton Evans	TEN	6
Salvon Ahmed	MIA	6
Jeff Wilson Jr.	SF	6
Wayne Gallman Jr.	FA	5
Giovani Bernard	TB	5
Boston Scott	PHI	5
Kerryon Johnson	FA	4
Benny Snell Jr.	PIT	4
Tevin Coleman	NYJ	4
Anthony McFarland Jr.	PIT	3
La'Mical Perine	NYJ	3
Justin Jackson	LAC	3
Kylin Hill	GB	3
Elijah Mitchell	SF	3
DeeJay Dallas	SEA	3
Todd Gurley II	FA	3
Justice Hill	BAL	2
Matt Breida	BUF	2
Malcolm Brown	MIA	2
Larry Rountree III	LAC	2
Jermar Jefferson	DET	2
Javian Hawkins	TEN	2
Mark Ingram II	HOU	2
Damien Williams	CHI	2
Darrel Williams	KC	2
Chris Evans	CIN	2
Le'Veon Bell	FA	2
All Others	-	1
