Name	Team	Value
Travis Kelce	KC	52
George Kittle	SF	49
Darren Waller	LV	42
Kyle Pitts	ATL	40
T.J. Hockenson	DET	39
Mark Andrews	BAL	35
Jonnu Smith	NE	30
Noah Fant	DEN	28
Dallas Goedert	PHI	22
Mike Gesicki	MIA	22
Robert Tonyan	GB	20
Logan Thomas	WAS	18
Tyler Higbee	LAR	18
Cole Kmet	CHI	17
Hunter Henry	NE	16
Pat Freiermuth	PIT	16
Irv Smith Jr.	MIN	15
Evan Engram	NYG	14
Adam Trautman	NO	14
Austin Hooper	CLE	13
Zach Ertz	PHI	12
Gerald Everett	SEA	11
Blake Jarwin	DAL	11
O.J. Howard	TB	10
Hayden Hurst	ATL	9
Eric Ebron	PIT	8
Anthony Firkser	TEN	7
Rob Gronkowski	TB	7
Dawson Knox	BUF	7
Jared Cook	LAC	6
Chris Herndon IV	MIN	6
Brevin Jordan	HOU	5
David Njoku	CLE	5
Harrison Bryant	CLE	5
Hunter Long	MIA	4
Albert Okwuegbunam	DEN	3
Dalton Schultz	DAL	3
Dan Arnold	CAR	3
Will Dissly	SEA	3
Ian Thomas	CAR	3
Donald Parham Jr.	LAC	2
Mo Alie-Cox	IND	2
Kyle Rudolph	NYG	2
Tommy Tremble	CAR	2
Jack Doyle	IND	2
Drew Sample	CIN	2
Jimmy Graham	CHI	2
All Others	-	1
