Name	Team	Value
Tyreek Hill	KC	80
Davante Adams	GB	76
D.K. Metcalf	SEA	76
A.J. Brown	TEN	75
Justin Jefferson	MIN	75
Stefon Diggs	BUF	74
Calvin Ridley	ATL	72
CeeDee Lamb	DAL	70
DeAndre Hopkins	ARI	68
Terry McLaurin	WAS	62
Allen Robinson II	CHI	60
Chris Godwin	TB	58
D.J. Moore	CAR	54
Amari Cooper	DAL	52
Brandon Aiyuk	SF	52
Tee Higgins	CIN	48
Ja'Marr Chase	CIN	46
Keenan Allen	LAC	46
Mike Evans	TB	44
Diontae Johnson	PIT	44
Jerry Jeudy	DEN	40
Robert Woods	LAR	40
Kenny Golladay	NYG	40
Courtland Sutton	DEN	40
DeVonta Smith	PHI	38
Jaylen Waddle	MIA	38
Michael Thomas	NO	36
Cooper Kupp	LAR	35
Chase Claypool	PIT	34
Julio Jones	TEN	32
JuJu Smith-Schuster	PIT	30
Tyler Lockett	SEA	30
Laviska Shenault Jr.	JAC	30
Michael Pittman Jr.	IND	29
D.J. Chark Jr.	JAC	29
Odell Beckham Jr.	CLE	28
Deebo Samuel	SF	28
Tyler Boyd	CIN	26
Adam Thielen	MIN	24
Darnell Mooney	CHI	23
Rashod Bateman	BAL	23
Will Fuller V	MIA	23
Curtis Samuel	WAS	22
Elijah Moore	NYJ	21
Michael Gallup	DAL	21
Corey Davis	NYJ	21
Brandin Cooks	HOU	21
Jarvis Landry	CLE	19
Robby Anderson	CAR	19
Rondale Moore	ARI	18
Henry Ruggs III	LV	18
Gabriel Davis	BUF	17
Terrace Marshall Jr.	CAR	16
Jalen Reagor	PHI	16
Bryan Edwards	LV	16
DeVante Parker	MIA	15
Mike Williams	LAC	15
Amon-Ra St. Brown	DET	15
Marquise Brown	BAL	14
Mecole Hardman	KC	14
Parris Campbell	IND	14
Denzel Mims	NYJ	14
Christian Kirk	ARI	13
Kadarius Toney	NYG	12
Antonio Brown	TB	12
Darius Slayton	NYG	11
Marvin Jones Jr.	JAC	11
Dyami Brown	WAS	11
Sterling Shepard	NYG	10
Amari Rodgers	GB	10
Jamison Crowder	NYJ	9
Nico Collins	HOU	9
T.Y. Hilton	IND	9
John Brown	LV	9
Jakobi Meyers	NE	8
Nelson Agholor	NE	8
Van Jefferson	LAR	6
D'Wayne Eskridge	SEA	6
KJ Hamler	DEN	6
Cole Beasley	BUF	6
Russell Gage	ATL	6
Allen Lazard	GB	6
Sammy Watkins	BAL	6
Preston Williams	MIA	6
Tre'Quan Smith	NO	6
Anthony Miller	HOU	5
Josh Reynolds	TEN	5
Tylan Wallace	BAL	5
James Washington	PIT	5
Josh Palmer	LAC	5
N'Keal Harry	NE	5
Tutu Atwell	LAR	5
Donovan Peoples-Jones	CLE	4
Tim Patrick	DEN	4
Breshad Perriman	FA	4
Emmanuel Sanders	BUF	3
Tyler Johnson	TB	3
Hunter Renfrow	LV	3
A.J. Green	ARI	3
Lynn Bowden Jr.	MIA	3
Keke Coutee	FA	2
Quintez Cephus	DET	2
Devin Duvernay	BAL	2
Keelan Cole Sr.	NYJ	2
Marquez Valdes-Scantling	GB	2
Kendrick Bourne	NE	2
Scotty Miller	TB	2
Andy Isabella	ARI	2
Anthony Schwartz	CLE	2
Randall Cobb	GB	2
Marquez Callaway	NO	2
Cornell Powell	FA	2
Miles Boykin	BAL	2
Rashard Higgins	CLE	2
Seth Williams	FA	2
DeSean Jackson	LAR	2
Jaelon Darden	TB	2
All Others	-	1
